Vancouver — Historical Rental Market Statistics Summary  
1990 to 2024 Row / Apartment Bedroom Type - Total October
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
1990 October,0.9,a ,**,,622,a ,585,a ,**,,"115,899",
1991 October,2.2,a ,**,,633,a ,600,a ,3.3,b ,"118,749",
1992 October,1.6,a ,**,,643,a ,625,a ,1.8,a ,"116,086",
1993 October,1.1,a ,**,,660,a ,625,a ,2.6,a ,"114,129",
1994 October,0.8,a ,**,,675,a ,635,a ,2.6,b ,"112,076",
1995 October,1.2,a ,**,,691,a ,652,a ,2.6,a ,"110,483",
1996 October,1.1,a ,**,,712,a ,675,a ,2.5,a ,"110,600",
1997 October,1.7,a ,**,,724,a ,690,a ,1.5,a ,"110,415",
1998 October,2.7,a ,**,,730,a ,690,a ,0.9,a ,"109,970",
1999 October,2.6,a ,**,,733,a ,700,a ,0.9,a ,"110,409",
2000 October,1.4,a ,**,,749,a ,705,a ,2.1,a ,"110,302",
2001 October,1.0,a ,**,,778,a ,735,a ,4.3,a ,"110,136",
2002 October,1.4,a ,**,,801,a ,750,a ,2.6,a ,"109,899",
2003 October,2.0,a ,**,,815,a ,765,a ,2.1,b ,"110,871",
2004 October,1.3,a ,**,,831,a ,775,a ,1.6,b ,"109,733",
2005 October,1.4,a ,2.7,a ,845,a ,795,a ,2.0,a ,"109,942",
2006 October,0.8,a ,1.4,a ,876,a ,815,a ,3.9,a ,"108,216",
2007 October,0.8,a ,1.4,a ,908,a ,845,a ,4.6,a ,"107,246",
2008 October,0.6,a ,1.1,a ,948,a ,880,a ,4.3,a ,"106,395",
2009 October,2.2,a ,2.9,a ,986,a ,900,a ,2.9,a ,"107,455",
2010 October,1.9,a ,2.7,a ,"1,006",a ,930,a ,2.6,a ,"107,587",
2011 October,1.4,a ,2.2,a ,"1,037",a ,950,a ,2.3,a ,"107,806",
2012 October,1.8,a ,2.7,a ,"1,058",a ,975,a ,2.3,a ,"108,146",
2013 October,1.7,a ,2.5,a ,"1,078",a ,"1,000",a ,2.2,a ,"108,666",
2014 October,1.0,a ,1.6,a ,"1,110",a ,"1,035",a ,2.5,a ,"109,217",
2015 October,0.8,a ,1.2,a ,"1,156",a ,"1,073",a ,3.9,a ,"110,024",
2016 October,0.7,a ,1.2,a ,"1,236",a ,"1,150",a ,6.4,a ,"110,973",
2017 October,0.9,a ,1.5,a ,"1,308",a ,"1,213",a ,5.8,a ,"111,551",
2018 October,1.0,a ,**,,"1,394",a ,"1,300",a ,6.1,a ,"112,228",
2019 October,1.1,a ,**,,"1,480",a ,"1,400",a ,4.7,a ,"113,648",
2020 October,2.6,a ,**,,"1,519",a ,"1,436",a ,2.0,a ,"115,949",
2021 October,1.2,a ,**,,"1,546",a ,"1,475",a ,2.1,a ,"117,168",
2022 October,0.9,a ,**,,"1,675",a ,"1,575",a ,6.4,a ,"120,472",
2023 October,0.9,a ,**,,"1,828",a ,"1,715",a ,9.5,a ,"123,867",
2024 October,1.6,a ,**,,"1,929",a ,"1,820",a ,4.5,b ,"126,469",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
