Langley City and Langley DM — Historical Average Rents by Bedroom Type  
2010 to 2024 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2010 October,629,a ,746,a ,887,a ,"1,069",a ,836,a ,
2011 October,631,a ,763,a ,912,a ,"1,079",a ,852,a ,
2012 October,638,a ,757,a ,920,a ,"1,107",a ,855,a ,
2013 October,638,a ,792,a ,972,a ,"1,147",a ,896,a ,
2014 October,640,a ,771,a ,949,a ,"1,199",a ,882,a ,
2015 October,685,a ,806,a ,"1,010",a ,"1,353",a ,943,a ,
2016 October,705,a ,889,a ,"1,156",a ,"1,387",a ,"1,046",a ,
2017 October,800,a ,975,a ,"1,338",a ,"1,556",a ,"1,194",a ,
2018 October,826,a ,"1,046",a ,"1,384",a ,"1,643",b ,"1,243",a ,
2019 October,901,b ,"1,213",a ,"1,556",a ,"1,662",b ,"1,392",a ,
2020 October,961,a ,"1,236",a ,"1,569",a ,"1,633",a ,"1,412",a ,
2021 October,966,a ,"1,274",a ,"1,611",a ,"1,691",a ,"1,460",a ,
2022 October,921,b ,"1,276",a ,"1,700",a ,"1,761",a ,"1,502",a ,
2023 October,"1,091",c ,"1,551",a ,"2,004",a ,"2,088",c ,"1,795",a ,
2024 October,"1,103",a ,"1,723",a ,"2,177",a ,"2,160",b ,"1,892",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
