Langley City and Langley DM — Historical Vacancy Rates by Bedroom Type  
2010 to 2024 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2010 October,1.2,a ,3.9,a ,4.7,a ,4.2,b ,4.2,a ,
2011 October,0.0,b ,4.7,b ,2.8,a ,0.4,a ,3.2,b ,
2012 October,10.3,a ,4.8,c ,3.5,b ,2.8,a ,4.3,b ,
2013 October,4.5,b ,2.1,b ,2.7,b ,1.2,a ,2.3,a ,
2014 October,5.9,a ,2.5,a ,2.4,a ,0.8,a ,2.4,a ,
2015 October,1.2,a ,1.9,a ,1.1,a ,1.0,d ,1.5,a ,
2016 October,2.4,b ,1.4,a ,0.5,a ,0.4,b ,1.0,a ,
2017 October,**,,0.7,a ,**,,1.9,c ,1.4,a ,
2018 October,1.2,a ,1.6,a ,1.4,a ,1.4,a ,1.5,a ,
2019 October,0.0,b ,3.0,b ,3.7,b ,1.5,a ,3.1,b ,
2020 October,0.0,c ,1.9,b ,2.2,b ,1.2,a ,1.9,a ,
2021 October,1.0,a ,1.7,a ,1.0,a ,1.0,d ,1.3,a ,
2022 October,0.0,c ,1.1,a ,0.7,a ,0.9,a ,0.9,a ,
2023 October,**,,1.7,c ,1.4,a ,0.0,d ,1.4,a ,
2024 October,0.9,d ,2.3,c ,2.6,b ,1.9,c ,2.3,b ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
