"Number and percentage of the immigrant population, Vancouver (CMA), 2001 to 2021"
"Vancouver(Census metropolitan area)"
Census years,Number,Percentage (%)
"2001","737505","37.6"
"2006","829870","39.7"
"2011","913305","40"
"2016","989540","40.8"
"2021","1089180","41.8"

Symbols:
..,not available for a specific reference period
...,not applicable
E,use with caution
F,too unreliable to be published
r, revised
x,suppressed to meet the confidentiality requirements of the Statistics Act
rE,Revised. Use with caution.

"Source: Statistics Canada, 2021 Census of Population."

"How to cite: Statistics Canada. 2022. Focus on Geography Series. 2021 Census."
"Statistics Canada Catalogue no. 98-404-X2016001. Ottawa, Ontario. Release date: February 9, 2022. Updated on: November 30, 2022."
"http://www12.statcan.gc.ca/census-recensement/2021/as-sa/fogs-spg/index.cfm?Lang=E"

