"Number and distribution (in percentage) of the immigrant population and recent immigrants in census divisions, Vancouver (CMA), 2021"
"Vancouver(Census metropolitan area)"
Geography,Total population - Number,Immigrant population - Number,Immigrant population - %,Recent immigrants (2016 to 2021) - Number,Recent immigrants (2016 to 2021) - %
"Vancouver (CMA)","2607015","1089180","41.8","154815","14.2"
"Anmore (Village)","2400","660","27.5","45","6.8"
"Barnston Island 3 (Indian reserve)","x","x","x","x","..."
"Belcarra (Village)","645","135","20.9","0","0"
"Bowen Island (Island municipality)","4225","950","22.5","65","6.8"
"Burnaby (City)","245725","123800","50.4","18920","15.3"
"Burrard Inlet 3 (Indian reserve)","2365","590","24.9","85","14.4"
"Capilano 5 (Indian reserve)","2900","1085","37.4","155","14.3"
"Coquitlam (City)","147465","67540","45.8","8600","12.7"
"Coquitlam 1 (Indian reserve)","...","...","...","...","..."
"Coquitlam 2 (Indian reserve)","x","x","x","x","..."
"Delta (City)","107270","35555","33.1","4325","12.2"
"Katzie 1 (Indian reserve)","...","...","...","...","..."
"Katzie 2 (Indian reserve)","x","x","x","x","..."
"Langley (District municipality)","130960","29890","22.8","3805","12.7"
"Langley (City)","28025","6530","23.3","1310","20.1"
"Lions Bay (Village)","1390","475","34.2","55","11.6"
"Maple Ridge (City)","89860","20235","22.5","2155","10.6"
"Matsqui 4 (Indian reserve)","440","60","13.6","0","0"
"McMillan Island 6 (Indian reserve)","...","...","...","...","..."
"Metro Vancouver A (Regional district electoral area)","17085","7860","46","1740","22.1"
"Mission 1 (Indian reserve)","...","...","...","...","..."
"Musqueam 2 (Indian reserve)","...","...","...","...","..."
"Musqueam 4 (Indian reserve)","x","x","x","x","..."
"New Westminster (City)","78055","29265","37.5","5050","17.3"
"North Vancouver (District municipality)","87390","28200","32.3","3340","11.8"
"North Vancouver (City)","57510","22015","38.3","3590","16.3"
"Pitt Meadows (City)","19025","4845","25.5","430","8.9"
"Port Coquitlam (City)","60390","20765","34.4","2135","10.3"
"Port Moody (City)","33455","11100","33.2","1185","10.7"
"Richmond (City)","208400","125600","60.3","13705","10.9"
"Semiahmoo (Indian reserve)","...","...","...","...","..."
"Seymour Creek 2 (Indian reserve)","...","...","...","...","..."
"Surrey (City)","562560","250870","44.6","39905","15.9"
"Tsawwassen (Tsawwassen Lands)","...","...","...","...","..."
"Vancouver (City)","650380","274365","42.2","41360","15.1"
"West Vancouver (District municipality)","43385","19815","45.7","2080","10.5"
"White Rock (City)","20725","6005","29","580","9.7"
"Whonnock 1 (Indian reserve)","x","x","x","x","..."

Symbols:
..,not available for a specific reference period
...,not applicable
E,use with caution
F,too unreliable to be published
r, revised
x,suppressed to meet the confidentiality requirements of the Statistics Act
rE,Revised. Use with caution.

"Source: Statistics Canada, 2021 Census of Population."

"How to cite: Statistics Canada. 2022. Focus on Geography Series. 2021 Census."
"Statistics Canada Catalogue no. 98-404-X2016001. Ottawa, Ontario. Release date: February 9, 2022. Updated on: November 30, 2022."
"http://www12.statcan.gc.ca/census-recensement/2021/as-sa/fogs-spg/index.cfm?Lang=E"

