Richmond — Historical Average Rents by Bedroom Type  
2010 to 2024 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2010 October,724,a ,903,a ,"1,137",a ,"1,355",a ,"1,065",a ,
2011 October,736,a ,905,a ,"1,142",a ,"1,357",a ,"1,067",a ,
2012 October,749,a ,947,a ,"1,176",a ,"1,425",a ,"1,104",a ,
2013 October,796,a ,953,a ,"1,208",a ,"1,546",a ,"1,143",a ,
2014 October,808,a ,994,a ,"1,231",a ,"1,502",a ,"1,158",a ,
2015 October,843,a ,"1,025",a ,"1,326",a ,"1,593",a ,"1,223",a ,
2016 October,901,a ,"1,083",a ,"1,405",a ,"1,721",a ,"1,304",a ,
2017 October,985,a ,"1,185",a ,"1,411",a ,"1,694",a ,"1,326",a ,
2018 October,"1,071",a ,"1,213",a ,"1,509",a ,"1,725",a ,"1,391",a ,
2019 October,"1,058",a ,"1,249",a ,"1,550",a ,"1,777",a ,"1,427",a ,
2020 October,"1,120",a ,"1,311",a ,"1,542",a ,"1,926",a ,"1,463",a ,
2021 October,"1,170",a ,"1,316",a ,"1,608",a ,"2,000",a ,"1,501",a ,
2022 October,"1,185",a ,"1,459",a ,"1,839",a ,"2,376",a ,"1,695",a ,
2023 October,"1,501",b ,"1,714",b ,"2,028",b ,"2,348",a ,"1,862",a ,
2024 October,"1,451",a ,"1,724",a ,"2,089",b ,"2,241",c ,"1,901",b ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
