Surrey — Historical Average Rents by Bedroom Type  
2010 to 2024 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2010 October,589,a ,724,a ,881,a ,"1,106",a ,832,a ,
2011 October,610,a ,718,a ,898,a ,"1,102",a ,836,a ,
2012 October,614,a ,723,a ,887,a ,"1,105",a ,833,a ,
2013 October,632,a ,751,a ,922,a ,"1,158",a ,867,a ,
2014 October,713,a ,760,a ,926,a ,"1,167",a ,879,a ,
2015 October,671,a ,773,a ,953,a ,"1,220",a ,898,a ,
2016 October,728,a ,855,a ,"1,006",a ,"1,259",a ,960,a ,
2017 October,840,a ,908,a ,"1,076",a ,"1,314",a ,"1,025",a ,
2018 October,774,a ,978,a ,"1,150",a ,"1,344",a ,"1,092",a ,
2019 October,891,a ,"1,020",a ,"1,213",a ,"1,501",a ,"1,161",a ,
2020 October,925,b ,"1,139",a ,"1,293",a ,"1,558",a ,"1,251",a ,
2021 October,982,b ,"1,175",a ,"1,352",a ,"1,579",a ,"1,293",a ,
2022 October,"1,099",a ,"1,365",a ,"1,531",a ,"1,675",a ,"1,458",a ,
2023 October,"1,355",b ,"1,449",a ,"1,668",a ,"1,784",a ,"1,565",a ,
2024 October,"1,427",a ,"1,625",a ,"1,862",a ,"1,718",b ,"1,711",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
