Surrey — Historical Vacancy Rates by Bedroom Type  
2010 to 2024 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2010 October,2.0,a ,4.7,a ,3.6,a ,3.1,a ,4.0,a ,
2011 October,0.0,c ,3.9,a ,3.9,a ,3.9,b ,3.9,a ,
2012 October,3.5,a ,5.2,a ,6.5,a ,4.9,a ,5.7,a ,
2013 October,1.4,a ,5.2,a ,3.4,a ,3.6,a ,4.2,a ,
2014 October,0.8,a ,2.3,a ,2.4,a ,3.6,a ,2.4,a ,
2015 October,3.9,b ,1.6,a ,2.0,a ,1.9,b ,1.9,a ,
2016 October,0.0,c ,0.5,a ,0.4,a ,0.2,a ,0.4,a ,
2017 October,0.0,c ,0.5,a ,0.7,a ,0.0,b ,0.5,a ,
2018 October,0.0,d ,0.4,a ,0.5,a ,0.2,b ,0.4,a ,
2019 October,**,,0.9,a ,0.3,a ,0.0,b ,0.5,a ,
2020 October,3.0,a ,1.3,a ,1.6,b ,0.6,a ,1.4,a ,
2021 October,0.0,d ,0.6,a ,0.7,a ,0.5,a ,0.6,a ,
2022 October,2.1,c ,0.6,a ,0.7,a ,0.0,b ,0.6,a ,
2023 October,**,,1.9,c ,1.2,a ,0.5,b ,1.5,a ,
2024 October,2.5,c ,2.4,b ,0.8,a ,0.5,b ,1.7,b ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
